label,text
1,user love you to!! tg  lol gngb
0,user i told myself: don't click on this link. but i just did. boho 
0,the man who rendered his voice to mickey mouse expired. he was 62 years old!  i'm a mickey fan!
1,user i think red would be nice.  or maybe you could do a mix of red and black. 
0,user - i guess. 'cause one of her tweets says she is confused. 
0,"have to go home in awhile. goodbye, internet.  i will miss you."
1,user faints i want!! everything looks good when its put through a fisheye  haha
1,user merci! now i need to go find it before it falls off the stream... ! say hi to sophie for me 
1,user morning 
1,user i freaking love you! does jason still have his lovely curly hair? 
1,user well....ok...you can carry on then.  dinnertime over now anyway 
0,splitting headache ftl 
1,the white stripes quot;we're going to be friendsquot; ? http 
1,"yes, dear friends, the ms crazies are still losing time watching my twitter account. it amuses me to no end! "
1,user not bad 
1,user lol but to be honest it's kinds annoying as it looks huge in my room 
0,having the worst day ever!! 
1,user she is! 
0,user ooc your picture is failing 
1,user sounds interesting... 
0,user ouch.  hope you're okay.
0,dude! its fathers day today!! lol i can't go out after church.  mom says its fam time. next sunday instead?
1,im really really really tired tt all hurt me... hahahaha but was a amazing day.. all beach! 
1,"user yeah, he was, made me tingle all over. i love the welsh "
0,"why all this, just go down, wheni must need to feel special.. i miss you "
0,aww man i really do miss him 
1,old people are like slinkies...they're pretty much useless... but you can't help ut laugh when one falls down thr stairs  jk lol  
1,catching the bus to the city all this week  i'm going to love the change in scenery. have a great day all x
1,user thanks for the rt's! 
1,user hey sweets! it is hella hot here! 
1,user a queen referance and it shows i ain't the only one caught in the rain. wonderful 
1,user oh no she eats lls....but they think its going to catch up with me one day 
0,"if you ever want to try out corel painter 11 and find a torrent through isohunt, beware. there's two trojans in one of the torrents. "
0,user  hope they sort things out for you soon 
1,user that's so sweet!  what a cute picture ... little joey joe     good memories... joey joe is what i used to fall asleep to! 
1,user about to go out job hunting! 
0,"user oh no, that's even worse!  wonders if can start a blue peter appeal to send urgent food parcels to bath"
1,user okie thanx 
1,user awakened indeed - thought some twitter alarm clock had gone off that i missed 
0,i feel like crap today 
1,finally home! i need to tell user some very exciting news 
0,user not fair we gotta work... 
1,user anytime 
1,"user indeed, thank you "
0,i'm hoping the injections needed for a visit to egypt can be counted on one hand. bloody hate needles 
1,user its so cute  so did you think about phx?? ; hehehe....
0,user aw...no more space boot?  
0,user oh god  hope she is ok huge hugs x
0,"back from mahon point - everybody got something, except mommy. mommy hates shopping "
0,"i need sleep, not use to working, really not looking forward to 10 hours shift on monday "
