sentiment,text
1,@tonigirl14 love you toooooo!! TG  LOL Gngb
0,@jun6lee I told myself: Don't click on this link. But I just did. Booohooo 
0,The man who rendered his voice to Mickey Mouse expired. He was 62 years old!  i'm a Mickey fan!
1,@Shontelle_Layne I think red would be nice.  Or maybe you could do a mix of red and black. 
0,@Silverlines - I guess. 'Cause one of her tweets says she is confused. 
0,"Have to go home in awhile. Goodbye, internet.  I will miss you."
1,@lomolibertine *faints* I want!! Everything looks good when its put through a fisheye  haha
1,@mlvalentine Merci! (Now I need to go find it before it falls off the stream... !) Say hi to Sophie for me 
1,@twistednurse76 Morning 
1,@gillianrundell7 i freaking love you! Does Jason still have his lovely curly hair? 
1,@blwbyrd well....OK...you can carry on then.  Dinnertime over now anyway 
0,Splitting headache FTL 
1,The White Stripes &quot;We're Going To Be Friends&quot; ? http://twt.fm/138385 
1,"Yes, dear friends, the MS crazies are still losing time watching my Twitter account. It amuses me to no end! "
1,@JusTrent not bad 
1,@BeckyKingston Lol but to be honest it's kinds annoying as it looks huge in my room 
0,having the worst day ever!! 
1,@rebeccabakic she is! 
0,@BElanna_Torres ooc Your picture is failing 
1,@radha_ sounds interesting... 
0,@eileen53 Ouch.  Hope you're okay.
0,dude! its fathers day today!! lol I can't go out after church.  mom says its fam time. next sunday instead?
1,Iï¿½m really really really TIRED T_T all hurt me... hahahaha but was a amazing day.. All beach! 
1,"@lejjewellery yeah, he was, made me tingle all over. i love the welsh "
0,"why all this, just go down, wheni must need to feel special.. i miss you "
0,Aww man I really DO miss him 
1,Old people are like slinkies...they're pretty much useless... but you can't help ut laugh when one falls down thr stairs  JK lol  
1,catching the bus to the city all this week  i'm going to love the change in scenery. Have a great day all x
1,@DAVIDCESAR3 thanks for the rt's! 
1,@leeroyholmes hey sweets! It is hella hot here! 
1,@zoetunstall A queen referance and it shows I ain't the only one caught in the rain. Wonderful 
1,@MissDiggs oh no she eats lls....but they think its going to catch up with me one day 
0,"If you ever want to try out Corel Painter 11 and find a torrent through isohunt, BEWARE. There's two trojans in one of the torrents. "
0,@shell_here  hope they sort things out for you soon 
1,@joeymcintyre That's so sweet!  What a cute picture ... little Joey Joe     Good memories... Joey Joe is what I used to fall asleep to! 
1,@Karen230683 About to go out job hunting! 
0,"@FionaFlame Oh no, that's even worse!  *Wonders if can start a Blue Peter appeal to send urgent food parcels to Bath*"
1,@makemethin okie thanx 
1,@Itxi_Itx awakened indeed - thought some twitter alarm clock had gone off that I missed 
0,i feel like crap today 
1,Finally home! I need to tell @taylorxtrauma some VERY exciting news 
0,@wm86 not fair we gotta work... 
1,@Sunday28 anytime 
1,"@stutterinstan Indeed, thank you "
0,I'm hoping the injections needed for a visit to Egypt can be counted on one hand. Bloody hate needles 
1,@GeeBears96 its so cute  so did you think about phx?? ;) hehehe....
0,@MyCatCrash Awww...no more space boot?  
0,@NiaBassett oh god  hope she is ok huge hugs xxx
0,"Back from Mahon Point - everybody got something, except Mommy. Mommy hates shopping "
0,"i need sleep, not use to working, really not looking forward to 10 hours shift on monday "
0,@BdotStone two thumbs down!!!!! 
0,@freeintegrated......... I texted u last nite....  going 2 church 2day?
1,@delectableSU poor index right! safety gloves?  or blunt knives?
1,"'When are you going to realize that being tough, means being tender?'  I lovee Jam. / Detroit Rock City."
0,one hour late-bad plumbers  http://tinyurl.com/pnptq8
1,@whatswithinu I'm very much in tune with your words today. Thanks. 
1,@djnyce What up to today? 
1,@WOTN I'm sure I won't! I can't wait. Convinced the hubby to stay up and watch it too  He usually can't stay awake that long! Haha
0,time to get some ironin done ...can think of betta ways to spend a sunday mornin 
0,"Reading about Dumbledore's death and funeral is making me feel very sad about my cat.  Is that just ridiculous, or what?"
1,@decembabreeze LOL!! Awwww you're lucky!!  I want a son so bad...too many women in my family. I'd try not to make him a momma's boy but...
1,"@CHRIS_Daughtry  thinking about Universal, I recall your saying it was the biggest crowd you had ever played for  How things  have cha ..."
0,"@JayLink_ I have no idea, but I pissed of a niche group of grandmothers tonight "
0,Feeling proper weird today 
0,"@dougiemcfly bad, bad Percy!  not cool, Mr. Bass."
1,@crside I am now following you  tweet on my friend
1,"@atchoo Greece!! o_O lucky son of a gun! i bet you're grinning ear to ear now, aren't you? "
0,"feel bad about my English, Couldn't it be better? "
1,@Iloveth yeah i think so  hurry home xxx
1,@laurendaymakeup thanks so much 
1,@IndieChavv I hate burning myself with straightners... I always feel like evolution should have weeded ppl like me out!  x
1,@miquel49389  I love the house...definitely a good move. 
0,@BefiBeez Oooooooooooooooooo do we have any exams together? during this week? 
1,@hollyalyxfinch  Hello deary!  All ok with you?  Keeping out of trouble? Jail? Chains? 
1,"@rayofsunshine16 my daughter is 17 and getting customer svc experience in a shop, has done leisure &amp; tourism, always wanted airline job "
1,@YourWxToday Beautiful here in NW Lower MI today! Balmy and calm seas on the lake 
0,am now officially at my lowest weight since before high school (minus my coke head years-that was insane) this explains my smaller boobs 
0,@1225lola  I know and I need to Sleep  blah blah blah
1,@Crazy4Crystal yes i do say so  I think i like to take charge.
0,@BitchNotAPerson Cold potatoes are a hundred times better than warm potatoes. Don't like those too much either 
0,@ComptonFlyElle 5 days! Wish u would have stayed this week! 
0,NOOOOO!!! DEMI'S NOT IN THE TRENDING TOPICS ANYMORE  LETS GET HER BACK THERE!
1,@bobbychariot hope the painkillers work! Am watching the Politics Show &amp; wondering why I am lol - not sure what am doing for rest of day 
1,"@taylorswift13 aha! nice, Taylor. ;p you should take a picture &amp;&amp; post it on twitter.  ;p"
1,@maryk3lly  i didnt watch star trek yet.... i thought that i will watch it last night ... but i didnt... =( ... i will watch it today... 
1,@DrMollieMarti How was Gemini Baby bday?? 
1,@oprah pls if u get dis twitter--kindly reply i wanna know if this works lol--im still a newbie and glad 2 c u here 
0,"@Rafiraga aaauuug, i have to look for a job tomorrow and wednesday = no kaching. "
0,"@sunriseon7 yes of course, i love your show only cause i always come watch performers, and eric was on the other day but you didnt tweet "
0,And then hayfever starts 
0,"@Prima_Diva lol.. it WAS.. now its just getting pathetic the words ppl are coming up with.. smh, it was just a random rant, im so bored! "
1,"So I had my phone dead since last night, decide to charge it &amp; had 200 unread messages. Fucking Twitter. Anyways, feels good to be back "
0,@lostlovely 
0,@aussieboby i don't envy you driving all that time in Sydney traffic ..  .. you deserve a medal
1,The sky's green!! I like it... 
0,No way am i gonna finish this coursework for tomorrow 
1,Done with work and Mondayitis. Time for coffee with Clairebear! 
0,@livnb yeas its very sad.. i wont get it till i get back  also what does ttow mean?
1,Got an appointment with the Doc later on... I'd be surprised if I can remember where the surgery act. is. lol. 
1,@mschantel_426 Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
1,@ShropshirePixie @BigAssBadger Great minds think alike! lol 
0,@amybabydoll69 @hollymae20 neither can i  it's not fun!! i apply to things but don't get anything back!
1,so collddd. my free tshirt arrived today 
1,@jorgeepower Ah I am going to take first r&amp;r weekend in ages. Total rest. We'll see how that works out though 
0,I was late to the #ontd trending topics party. 
1,@Galiiit I like it 
0,@teambudd1 Time for you to relax then. I'm out lunching &amp; shopping today...even though it's raining 
0,"@angel0712 Oh, I can't.  I mean, how would it work?  I'd go, and then Lee'd go?  We'll just wait for the DVD release.  "
0,Gmail is down? 
0,Jeezus my body hates me right now!! 21 hours awake and still counting! I had fun with my friends tonight. And I miss Cassieface already 
1,@Rowdyeh @mangonocturna thank you 
0,"...I'm obsessing over. And when Lost comes back, given it's the final season...it's gonna be even worse. "
1,"@IamMaxatHotSpot Yeah, happens to everyone. Live and learn. "
0,"@zeddessarts Oh that sounds nice, I love the summers here, always bright but then the winters are the opposite so that's no fun! "
1,What a wonderful cause! Thank you @OpGratitude for all you do!  #militarymon
0, having my friends drop me off was a bad idea. i miss you guys already. two months? seriously?
0,"oh, i'd forgotten it's rob day at the cinema. sad now "
1,brb ppl need food lol 
0,Awake cause another night I can't sleep 
1,my iPod touch have this tendency to pick Jacky Cheung's songs every time I say Shuffle... 
0,Be a new video up tonight. But the 2 bad things are I still have. Cold and I don't have a SciPhone 
1,@lyssa06 Yea ok for u sure why not go ahead tell D`dub and his 2wife i said was up lmfao 
1,@AnnaMariaPdT Hi! Do you speak fluent Filipino at home?  I just wanted to ask. 
1,@selves what're you workin on now? goin for a run or what? 
1,@tommcfly Hey Tom  Would you ask Danny what's his favorite Death Cab For Cutie song?  Xx
0,WeLL I'm At WoRk Already!!  Ugh
1,I'm OFF now! see you guys tomorrow! good night! 
0,someone tried to approach me  too danger
0,@grupozis  Clean Me!
1,@Depond lol  it did make me laugh aha but i was like oh dear you did not just say that  aha xx
0,"wow...i went on a rant rampage,didnt i!?!?! *deep breaths* sorry,the news scares the shit out of me sometimes! "
1,so naf showed up we did some warm ups then interval sprints then filmed my one lap in just speedos lmao dam it was cold 
1,@KateFromage sounds as if they meant not BY May 29th but by the END of May 29th.    Doesn't matter. Let's go for the finish line! 
1,feel refreshed.. 
1,"Angel`s section 2. She`s asking, who else is with her? "
0,@robineccles you mistweeted  here's the link again if you need it http://bit.ly/J5KPAOk
0,"Accidentally buggered my network connection port by forcing in a memory stick  In my defence, the room was dark, and I feeling my way."
1,@HethertonCessed  I know why I don't have a welsh accent... it's because IM SCOTTISH!!!!!! 
0,@franniiee_xx OMG you like ghibli films LOL have you watched grave of the fireflies  that made me cry so much
1,@3fingaz every little thing  just trynna keep these niggas and my business n line
1,@Moonbeamdisco So bundle up the boy and go sit in the sun with him and read him a story.  
1,"@sarahmaclean oooh ok, remind me in like a week "
0,"dad wants the computer, so I'd best be off  taking my lapity-topity to a mac specialist tomorrow, hopefully they make teh owwie go awayz"
0,@MysteriousMysti  well in an earlier tweet @sexonwheels asked for the dates for London and he said he couldnt say ? !! 
1,@Leabella Sweet signoff...Rest Well! 
1,@dansgalaxy the click to buzz tweet 
1,@Toxicrobots your tweeting like me @ the begining when i first started 
1,"@FluerRezsabelle Okieeeeeeeeee  LOL. hahahhahaha. now you've mentioned it,i havent punched someone in a long time."
1,@RobLane good good. I'm ready for my closeup.... 
1,"@Wathobio Hey you  Fancy seeing you here Ofio big  Yes, you guessed right, I hail from the aforementioned clan! How goes it?"
1,@Jonasbrothers yay! have a great plane ride.  peace out.
0,@trendebarbie7 chicaaaaaaaaaaaaaaaaaaaaaaaa!!!!!!!!! whats up??? i miss ya!!! 
1,@milliontwits   me too memory like a .......... ? ....... what was I saying?
0, im being attacked by a moth!!  its scary stuff  haha!
1,@Lemonpi PH and I are having a macaron smackdown...except he is not aware of it...It's all being played out in my head 
1,"@ashinynewcoin I mean, fingers crossed you *don't* of course. "
0,Still cannot print to ip4300. Print queue opens and shuts without printing  Does it on 2 machines.
1,"@Scottmehl I know, I hated it. I'm trying to get my voice back though  I'm drinks loads and loads of water. No more soda!"
1,@BlackSwanUC haha happy to entertain  xx
0,Aliens is not improving my mood.  Feelin depressed.
1, i wish i had my tablet pen :c...
1,Think the sun has melted everyone away like ice lollies.lol 
0,Hate wakin up early specially from a day like yesterday. Wish it could rain the whole day today. 
0,@squishymatter oh sorry about your back  Hope J gets better fast and it doesn't keep bouncing around!
1,"@shiningthunder Oh, boo... Stupid Kevick comm. &gt;.&lt; Oh, well, yours is still lovely and Kevin-personalized! "
1,@DHughesy Rule number 1. Never wake a happily sleeping baby unless its to eat. Wait till he wakes 
0,@thehappyhours oh noooo  sorry girl
0,@ArcieriKeness I remember when he died 
0,i need a hug 
1,Yaay!! Bothers and Sisters!! Woo-Hoo!! 
1,@JasonBradbury when will the twitter episode be shown? 
1,@chilled35 I'm in caerphilly. About mile or so from where they go bowling!! and I was born in the hostpital where ness has the baby 
0,will be visiting my dog at the pet clinic. hope he's well. I wanna play with him na 
1,Mum Might bring me to the overnight Cancer Walk Cuz I want to take Pictures 
1,@SiobhanBulfin thought you might like it seeing it's absent of meat 
0,@blackharu777  Clean Me!
0,"in bed, my midnight snack and I, twix  theres a fat girl in me somewhere"
0,"@berriesweetest Sounds interesting. Yeah, my brothers &amp; I don't know spanish but my mom &amp; grandparents do  WTH!"
1,thinking of a front end 4 the FC Delivery 
0,"@Caitlinjstasey Anyway Caitlin, I'm off to bed, I have school tomorrow.  Good night &amp; hope you decide to come back to Neighbours soon. xo."
1,@rbernaltx @josephbrady @DanWhitley @weizenbaum Thank you so much 
1,"Aww, what a great show "
1,@FrankieTheSats @MollieOfficial @unahealy @vanessawhite  @rochellewiseman Good luck for tonight girlies! 
1,#goodsex means never having to say you're sorry 
0,Hmmm... I haven't done anything useful all morning  I'll have to work twice as hard this afternoon!
0,@NK4evr  I've been talking to you!!!!  Are you ignoring me?  thought you were gone 
1,"@arnehulstein You win another star, Sir!  http://twitter.com/arnehulstein/status/1965658863"
1,morning to my 300 followers  thanks for being interested in my updates. more #happymaking will follow   www.happymaking4u.blogspot.com
1,"@journo_at_work decisions, decisions .. "
0,"@itsjoejonas ohhhh  is there anyway u guys can come tour here? i would travel the world just to c u guys perform, please try and come xoxo"
1,@CHRISTIE__ OPAAAAAA yes and we do not break plates we dance 
1,@tweetnotpurge1 i'm very excited. we booking flights and planning next week  coming there in winter **brrrrrrrrrrrrrrrr**
1,@margoks Don't forget to vote for our entry!   http://bit.ly/V5ZEW
1,@EnterPeace .....well you let me know how it works out for you. 
0,"@andrevr yes, but sadly i can't make it  family commitment from forever ago..."
1,"@KweeniB how old r u, well its here now so just give it yall "
1,@neo_pepper cuz hes just that amazing.  haha i really have no clue. (:
1,@loolet you dancer! as they might say in glasvegas 
1,@velofille I hit 140 characters. Was supposed to end with soon 
1,"@GabrielSaporta Tweet #Jizzersforlife  We're FBR fans, we're jizztastic, and we're trying to make it onto the TT. Help us out? Thanks!"
0,"@lisamh77 Concord &amp; Irvine, CA only. That's it for '09. "
0,@ThisStarChild but who wants to see all those scars  as for the workshop I explained there was a mixup with the slides....cough....
1,"@neilalan2006   I like it for the most part, but there are days it is stressful"
1,Stayed up late because it's summer. Been trying to finish Terninator Salvation for the 360. 
0,so...i guess there isn't much going on tonight... 
1,#shaundiviney#bradiewebb#andyclemmensen#shortstack    ily! &lt;3
1,@littlepartygirl  Kaya naman talaga and besides he went here and you went there 
0,"@pappe_it_is just met some1 who is doing what I'd want to do but jus cus he is lucky, he is where he is now "
0,@xoMusicLoverxo EXACTLY!  I can't wait till fall either. Evil show.  I got chills with the George thing though. Yup. 007. 
0,good morning twitter!!!! how are my slowly decreasing followers going? sorry for lack of tweets lately  internet has been stuffed!
1,@MichaelaMoose wheres greg though 
1,"@Jealoushe You and me both, girlfren.    Sleeeeeeeeeeeeeep for me!!"
1,After to refresh my country twang side lol going to move for David Pop Soul side.  *i &lt;3 COUNTRY and DAVID ARCHULETA songs*
1,@DirrrrtyydVE HOLY SAUSAGE! I'm saving this number! is it yours? 
0,@mackmaine WHY U STOP FOLLOWIN ME? 
0,I miss LB/BTSG  I also hate that I miss him! The rat bastars!!! *shakes fist in air*
